SMILES,96-Plate,96-Well,16h Raw R1,16h Raw R2
O=C(O)C(C)C1=CC=C(NCC(C)=C)C=C1,10-1,A02,1.192,1.187
CC[C@H](C)C1NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,10-1,A03,1.2,1.198
O=C(N(C)C)CNCCC1=CC=CC(OCCCC)=C1,10-1,A04,1.238,1.238
NC(NC(C1=CC=C(C2CCN(C(C)=O)CC2)C(C(F)(F)F)=C1)=O)=N,10-1,A05,1.216,1.207
O=S(C1=CC=CC(Cl)=C1C)(NC1=C2CN(CC3=CC=CC=C3)CCC2=NC(NCCC2=CC=CC=C2)=N1)=O,10-1,A06,1.249,1.24
CC(NC1=CC=CC=C1SC)=O,10-1,A07,1.192,1.198
O=C(C1=C(NC(NC2=CC=C(Cl)C=C2)=O)SC2=C1CCN(CC)C2)N,10-1,A08,1.164,1.197
COC1=C(CC(OCC)=O)C(C(CCCCCCC)=O)=CC(OC)=C1OC,10-1,A09,1.224,1.26
OC1=C2N=C(C)C=CC2=CC=C1C(NC1=NC=CC(C)=C1)C1=CC=CC=C1[N+]([O-])=O,10-1,A10,1.222,1.278
O=C([C@@H]1CCC[C@@]2([H])N1C(=O)[C@@H](NC([C@@H](S)CC1=CC=CC=C1)=O)CCS2)O,10-1,A11,1.22,1.253
O=C(NC1=CC=C(S(=O)(N2CCOCC2)=O)C=C1)C1=CC(Cl)=CC=C1NS(=O)(C1=CC=C(Cl)S1)=O,10-1,B02,0.046,0.049
O=S(C1=NC2=CC=C(OC(F)F)C=C2N1[Na])CC3=NC=CC(OC)=C3OC.[1.5H2O],10-1,B03,1.192,1.218
O=C(N1C=NN(C2=CC=C(Cl)C=C2Cl)C1=O)N(C1=CC=C(F)C=C1F)C(C)C,10-1,B04,1.208,1.228
O=C([C@H](C(C)C)NC(OC(C)C)=O)NC(C1=CC=C(Cl)C=C1)CC(OC)=O,10-1,B05,1.227,1.232
O=C([C@H](C(C)C)NC(OC(C)C)=O)N[C@H](C1=CC=C(Cl)C=C1)CC(OC)=O,10-1,B06,1.202,1.22
O=C(C1=CN(C)N=C1C(F)(F)F)NC1=C(C(C)CC(C)C)SC=C1,10-1,B07,1.22,1.266
O=C(O)COC1=CC=C(Cl)C=C1CO,10-1,B08,1.186,1.216
C[C@@H](OC1=CC=C(OC2=CC=C(C#N)C=C2F)C=C1)C(O)=O,10-1,B09,1.196,1.242
CC(S(=O)(C)=O)(C)/C=N/OC(NC)=O,10-1,B10,1.196,1.255
O=P(OCCCl)(OC1=CC=C2C(=C1)OC(=O)C(Cl)=C2C)OCCCl,10-1,B11,1.244,1.285
[H][C@@]1([C@@H](C)CC)NC(=O)[C@@H](CC2=CC=C(OCC)C=C2)NC(=O)CCSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)C([C@@H](C)O)NC1=O,10-1,C02,1.21,1.21
O=C1[C@]([H])([C@H](O)CC(N)=O)NC(=O)C([C@H](O)[C@H](C2=CC=C(O)C=C2)O)NC(=O)[C@]2([H])C[C@@H](O)CN2C(=O)C([C@H](O)C)NC(=O)[C@@H](NC(CCCCCCCC[C@@H](C)C[C@@H](C)CC)=O)C[C@@H](O)[C@@H](O)NC(=O)[C@@]2([H])N1CC[C@@H]2O,10-1,C03,1.23,1.238
O=C(C1=C(CC)C(Cl)=C(O)C(Cl)=C1O)O[C@@H]1[C@@H](C)O[C@@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C\[C@H](CC)[C@@H](O[C@]3([H])OC(C)(C)[C@@H](OC(C(C)C)=O)[C@H](O)[C@@H]3O)/C(C)=C\C(C)=C/C[C@@]([H])([C@H](O)C)OC2=O)[C@@H](OC)[C@H]1O,10-1,C04,0.046,0.046
[H][C@]12NC(=O)[C@]3([H])NC(=O)[C@@]4([H])NC(=O)[C@@]([H])(CC5=CC=C(C=C5)OC5=CC3=CC(=C5O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)OC3=CC=C(C=C3Cl)[C@@H](O)[C@]([H])(NC1=O)C(=O)N[C@]([H])(C(=O)NCCCN(C)C)C1=CC(O)=CC(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)=C1C1=CC2=CC=C1O)NC(=O)[C@H](NC)C1=CC(=C(O)C=C1)OC1=CC4=C(Cl)C(O)=C1,10-1,C05,0.047,0.049
CC1(C)[C@@H]2CC[C@]1(C)C(=O)/C2=C\C1=CC=C(C)C=C1,10-1,C06,1.164,1.242
C[C@@H]1NC(C)(C)CO[C@@]1(O)C1=CC=CC(Cl)=C1,10-1,C07,1.146,1.194
O=S(C1=CC(Cl)=CC(Cl)=C1O)C1=CC(Cl)=CC(Cl)=C1O,10-1,C08,0.046,0.047
O=C(NC1=CC(Cl)=C(C(C2=CC=C(Cl)C=C2)C#N)C=C1C)C1=CC(I)=CC(I)=C1O[Na],10-1,C09,0.05,0.049
COCC(NC1=CC(SC2=CC=CC=C2)=CC=C1N=C(NC(OC)=O)NC(OC)=O)=O,10-1,C10,1.213,1.278
OC[C@H](O)COC1=C(C)C=C(C2=NOC(C3=CC(C4CCCC4)=NC(OC)=C3)=N2)C=C1CC,10-1,C11,0.072,0.078
O=C(O)C1=CC=CC(NC(N[C@H]2C(=O)N(CC(C(C)(C)C)=O)C3=CC=CC=C3N(C3CCCCC3)C2)=O)=C1,10-1,D02,1.236,1.241
O=C(NCCNC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)C1=CC=CC=C1O,10-1,D03,1.221,1.256
CN1C=NC([N+](=O)[O-])=C1C[N+](C)(C)CC=CC(=O)NC1=CC2=C(C=N1)N=CN=C2NC1=CC(Br)=C(Cl)C=C1,10-1,D04,1.187,1.203
O=C([C@H]1N2C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@]3([H])[C@@]([H])(CCC3)OC/C=C/C(F)(F)C3=NC4=CC=CC=C4N=C3O[C@@]([H])(C2)C1)N[C@@]1(C(NS(=O)(C2(C)CC2)=O)=O)[C@H](C(F)F)C1,10-1,D05,1.117,1.119
O=C(C1=CC=CN=C1)NCCNC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O,10-1,D06,1.135,1.172
O=C(O)CNC1=NC(CN(CC2=CC=C(N3N=CC=C3)C=C2)S(=O)(C2=CC=CN=C2)=O)=CC=C1,10-1,D07,1.147,1.172
O=C(C1=CC=NC2=CC=CC=C12)N[C@@H]1C[C@@H](CC2=CC=C(Cl)C=C2)N(C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=O)CC1,10-1,D08,1.205,1.267
O=C(O)C[C@H]1CN(C2=NC(SCCC)=C(C(NC3CCCCC3)=O)C=C2)CCC1,10-1,D09,1.186,1.271
N#CC1=CC=C(C2=CC=C(S(NC3=NC(N)=CC=C3)(=O)=O)C=C2)C=C1,10-1,D10,1.169,1.248
O=C(C1=CC2=CC=CC=C2O1)N[C@H]1[C@H](CC2=CC=CN=C2)N2CCC1CC2,10-1,D11,1.21,1.264
ClC1=C(Cl)C=C(S(=O)(N2CCN(C[C@@H](NC3=NC=NC4=C3SC=C4C)C)CC2)=O)C=C1,10-1,E02,1.201,1.213
COC1=CC2=C(C=C1OC)C(N1CC[C@@H](OC3=NC4=C(C=CC=C4)N=C3)C1)=NC=N2,10-1,E03,1.161,1.186
